AREA,PERIMETER,NCIDAD_,NCIDAD_ID,NOME
145905.200000,1829.951000,471,810,Silveiras
303167.900000,2242.335000,472,620,Arapeí
376805.700000,3294.362000,473,621,Bananal
283572.500000,2539.532000,474,622,Passa Tres
394117.000000,2966.290000,475,811,Canas
14909740.000000,26587.770000,476,812,Lorena
178039.900000,1943.674000,477,623,Monumento
602294.200000,3766.184000,478,624,Rio Claro
27400280.000000,50225.710000,479,813,Guaratinguetá
3146114.000000,12700.820000,480,814,Aparecida
1822552.000000,6036.368000,481,815,Potim
342820.600000,2688.624000,482,625,Lídice
1192727.000000,8275.210000,483,816,Aparecida
684912.800000,4442.420000,484,817,Bairro São Geraldo
483457.500000,3340.477000,485,818,Bairro Itaguaçu
1855308.000000,8428.078000,486,819,Moreira César
2260059.000000,6876.485000,487,820,Moreira César
151461.600000,1955.960000,488,821,Bairro da Roseira Velha
701231.900000,3507.690000,489,822,Roseira
1671498.000000,9230.167000,490,823,Moreira César
14115790.000000,40052.910000,491,824,Pindamonhangaba
129153.800000,1832.652000,492,825,São Francisco Xavier
231810.700000,2212.106000,493,826,Campos de Cunha
415508.800000,2831.693000,494,827,Bairro do Buriti
485770.000000,3379.195000,495,828,Fazenda Mombaça
777811.300000,6417.734000,496,965,Bairro de Santa Cecília
2572832.000000,11238.590000,497,831,Bairro do Ipiranga
621166.300000,4155.020000,498,832,Bairro do Buriti
125836.100000,1649.919000,499,833,Monteiro Lobato
45971840.000000,83491.030000,500,834,Taubaté
1245488.000000,5634.384000,501,835,Bairro do Poço Grande
791058.100000,4830.845000,502,836,Pindamonhangaba
872364.100000,3949.429000,503,837,Pindamonhangaba
393054.100000,2498.517000,504,838,Paraitinga
764706.400000,4349.642000,505,0,vazio urbano
444224.800000,2978.044000,506,840,Fábrica Mecânica Pesada
3406359.000000,13784.240000,507,841,Quiririm
100744.500000,1519.101000,508,0,vazio urbano
3551572.000000,10195.730000,509,843,Quiririm
2562777.000000,9245.371000,510,844,Posto Agropecuário
23512.220000,562.236100,511,0,vazio urbano
1435810.000000,7492.160000,512,846,Quiririm
487584.200000,3229.442000,513,847,Quiririm
517411.500000,3392.267000,514,0,vazio urbano
248181.300000,2532.190000,515,849,Campo Grande
491432.700000,3100.672000,516,850,Bairro do Menino Jesus
507858.900000,2723.225000,517,851,Cunha
297912.400000,3497.049000,518,852,Lagoinha
745806.600000,4326.676000,519,853,Colônia da Fazenda Barreiro
5258303.000000,16810.430000,520,854,Caçapava
878191.300000,5827.240000,521,855,Colônia da Fazenda Barreiro
311173.800000,2271.546000,522,856,Bairro Ponte do Costinha
616437.100000,3502.535000,523,857,Caçapava
1516541.000000,7912.408000,524,858,Caçapava Velha
247005.100000,1996.240000,525,859,Buquirinha
374081.100000,3046.011000,526,860,Buquirinha
966306.300000,5533.247000,527,863,Fazenda Santa Luzia
286888.300000,2510.676000,528,864,Fazenda Santa Luzia
284573.600000,3697.733000,529,0,vazio urbano
4425742.000000,14892.110000,530,866,Eugênio de Melo
88214780.000000,161433.900000,531,869,São José dos Campos
1878921.000000,7202.322000,532,868,Caçapava
11731990.000000,34600.890000,533,871,Bom Retiro
103681.000000,1259.229000,534,0,vazio urbano
2376029.000000,12453.600000,535,873,Piedade
4449434.000000,16027.700000,536,874,Cajuru
501979.800000,4243.856000,537,875,Andrade
743530.000000,5326.347000,538,876,Igaratá
338102.400000,2765.824000,539,877,São Luís do Paraitinga
688232.700000,3819.573000,540,878,Alambari
259671.100000,2669.515000,541,879,Chácaras Mont Clair
32494.730000,872.933800,542,0,vazio urbano
161049.000000,1816.367000,543,881,Catuçaba
12395.140000,516.218500,544,0,vazio urbano
560619.400000,5046.696000,545,883,Bairro Pernambucano
87227.390000,1364.441000,546,0,vazio urbano
186430.100000,2008.819000,547,885,Jambeiro
31997.380000,658.411700,548,0,vazio urbano
285332.500000,2256.406000,549,887,Chácaras Mont Clair
553751.600000,3864.769000,550,888,Bairro Pernambucano
557770.100000,3120.729000,551,889,Jacareí
851403.900000,4822.392000,552,890,Parque Meia Lua
26846850.000000,69605.660000,553,891,Jacareí
126510.800000,1572.894000,554,892,Bairro Pedra Branca
687050.400000,5654.566000,555,893,Fazenda Jacareí
1376721.000000,6470.946000,556,894,Bairro Pernambucano
350050.500000,3770.679000,557,895,Redenção da Serra
581628.900000,5521.155000,558,896,Bairro Ouro Fino
573197.600000,3883.552000,559,897,Bairro Santana
201606.000000,3291.899000,560,898,Bairro Pernambucano
941686.700000,7244.468000,561,899,Chácaras Eldorado
120410.300000,1705.344000,562,900,Montenegro
4631236.000000,21181.970000,563,901,Esperança
