R122, 5.15824800000000E+0004
R12, 5.29769300000000E+0004
R2122, 5.82310000000000E+0004
R212, 5.87174400000000E+0004
R214, 5.63679800000000E+0004
R216, 6.20553900000000E+0004
R2212, 6.87797500000000E+0004
R222, 8.44299800000000E+0004
R22322, 7.64375200000000E+0004
R2232, 7.75047900000000E+0004
R2242, 8.66107800000000E+0004
R224, 8.65732800000000E+0004
R2252, 9.32267500000000E+0004
R22542, 8.99563400000000E+0004
R2254, 8.96849300000000E+0004
R2256, 9.41640600000000E+0004
R2262, 9.87142800000000E+0004
R226, 1.00211620000000E+0005
R2282, 1.00470500000000E+0005
R2284, 1.05180940000000E+0005
R228, 1.10830630000000E+0005
R2292, 1.03944060000000E+0005
R2294, 1.07107110000000E+0005
R2296, 1.08140090000000E+0005
R22982, 1.05309770000000E+0005
R2298, 1.07717160000000E+0005
R22, 1.08022350000000E+0005
R231112, 6.63896600000000E+0004
R231122, 7.13206000000000E+0004
R23112, 7.08521400000000E+0004
R23114, 7.32450200000000E+0004
R231152, 7.59073800000000E+0004
R231154, 7.86099300000000E+0004
R23116, 8.33891000000000E+0004
R231172, 8.34089500000000E+0004
R231182, 9.05357500000000E+0004
R231184, 9.06807600000000E+0004
R23118, 9.28973000000000E+0004
R23122, 9.06230100000000E+0004
R23124, 9.78040100000000E+0004
R23126, 9.89771400000000E+0004
R2312, 1.04307740000000E+0005
R23142, 9.81844400000000E+0004
R23144, 1.03531230000000E+0005
R23146, 1.02516200000000E+0005
R2314, 1.04994880000000E+0005
R23152, 1.02997460000000E+0005
R231622, 1.09069070000000E+0005
R23162, 1.08370080000000E+0005
R2316, 1.08577700000000E+0005
R23172, 1.02296720000000E+0005
R23182, 1.15634210000000E+0005
R23184, 1.16342470000000E+0005
R23186, 1.20935410000000E+0005
R2318, 1.25471550000000E+0005
R231922, 1.11695420000000E+0005
R23192, 1.15935890000000E+0005
R2322, 1.20324760000000E+0005
R23232, 1.15874890000000E+0005
R2324, 1.19804280000000E+0005
R23262, 1.21210030000000E+0005
R2326, 1.22499230000000E+0005
R2328, 1.24998980000000E+0005
R232, 1.35304360000000E+0005
R23322, 1.19985170000000E+0005
R2332, 1.26952930000000E+0005
R2334, 1.17029890000000E+0005
R2336, 1.25000400000000E+0005
R2342, 1.42515610000000E+0005
R2344, 1.42085200000000E+0005
R2346, 1.43744350000000E+0005
R234, 1.41553130000000E+0005
R23612, 1.38483420000000E+0005
R2362, 1.47407770000000E+0005
R2364, 1.47102900000000E+0005
R23662, 1.52867330000000E+0005
R2366, 1.55246220000000E+0005
R2368, 1.57453570000000E+0005
R236, 1.61845320000000E+0005
R23722, 1.42959960000000E+0005
R2372, 1.43436730000000E+0005
R23732, 1.40972640000000E+0005
R23742, 1.46804600000000E+0005
R23744, 1.47882720000000E+0005
R23746, 1.51718490000000E+0005
R23748, 1.57696780000000E+0005
R2374, 1.60315180000000E+0005
R2376, 1.47823650000000E+0005
R23782, 1.48903330000000E+0005
R2378, 1.52638490000000E+0005
R23822, 1.59379420000000E+0005
R2382, 1.63453040000000E+0005
R23832, 1.65367490000000E+0005
R23834, 1.68131420000000E+0005
R23842, 1.72880250000000E+0005
R23844, 1.77661710000000E+0005
R2384, 1.86826480000000E+0005
R2386, 1.74410040000000E+0005
R23882, 1.82249760000000E+0005
R2388, 1.86197900000000E+0005
R23892, 1.79248640000000E+0005
R238, 1.86642810000000E+0005
R239122, 1.54221630000000E+0005
R23912, 1.57598260000000E+0005
R23922, 1.56468900000000E+0005
R2392, 1.59226570000000E+0005
R23932, 1.53856980000000E+0005
R23934, 1.68849740000000E+0005
R2394, 1.71463440000000E+0005
R2396, 1.76116350000000E+0005
R2398, 1.80952740000000E+0005
R2412, 1.85236830000000E+0005
R2414, 1.81418360000000E+0005
R24212, 1.86954200000000E+0005
R24222, 1.94387280000000E+0005
R2422, 1.93204790000000E+0005
R2424, 1.98225200000000E+0005
R24262, 2.10887550000000E+0005
R2426, 2.11907880000000E+0005
R2428, 2.02357360000000E+0005
R24292, 2.04236080000000E+0005
R24294, 2.07684100000000E+0005
R242, 2.09029090000000E+0005
R2432, 1.91334430000000E+0005
R2434, 1.94273500000000E+0005
R2436, 1.99816510000000E+0005
R2438, 2.02337530000000E+0005
R24392, 2.00476190000000E+0005
R2442, 2.12917070000000E+0005
R2444, 2.17973610000000E+0005
R2446, 2.26399110000000E+0005
R244, 2.28117020000000E+0005
R24522, 2.10904530000000E+0005
R2452, 2.12788020000000E+0005
R24532, 2.14430070000000E+0005
R24542, 2.19820090000000E+0005
R2454, 2.18408760000000E+0005
R24562, 2.27201110000000E+0005
R2456, 2.32523360000000E+0005
R2458, 2.22362700000000E+0005
R2462, 2.59290590000000E+0005
R2464, 2.48778440000000E+0005
R2466, 2.50181520000000E+0005
R246, 2.50989160000000E+0005
R2472, 2.54318230000000E+0005
R24742, 2.67650270000000E+0005
R24744, 2.73496670000000E+0005
R24746, 2.76777910000000E+0005
R2474, 2.79623890000000E+0005
R24752, 2.63642220000000E+0005
R24762, 2.67624870000000E+0005
R24764, 2.69801370000000E+0005
R2476, 2.69622090000000E+0005
R24772, 2.74558880000000E+0005
R24774, 2.77218530000000E+0005
R2478, 2.85873800000000E+0005
R2482, 2.93618490000000E+0005
R2484, 3.00381040000000E+0005
R24862, 3.00650440000000E+0005
R2486, 3.07522620000000E+0005
R2488, 3.04814670000000E+0005
R248, 3.08061290000000E+0005
R24922, 2.95050810000000E+0005
R24924, 2.98687880000000E+0005
R2492, 2.98355640000000E+0005
