R2412,R24,508, 9.05941000000000E+0003,4
R2414,R24,444, 1.13193700000000E+0004,4
R242,R24,426, 1.46181099999999E+0004,4
R24212,R242,398, 3.80645000000001E+0003,5
R2422,R242,349, 7.69809000000003E+0003,5
R24222,R2422,320, 2.46414000000001E+0003,6
R2424,R242,314, 1.00071100000000E+0004,5
R2426,R242,299, 1.71348300000000E+0004,5
R24262,R2426,230, 6.35870000000001E+0003,6
R2428,R242,229, 1.84162200000000E+0004,5
R24292,R242,216, 2.15352400000000E+0004,5
R24294,R242,187, 2.22798100000000E+0004,5
R2432,R24,394, 1.89538000000000E+0004,4
R2434,R24,350, 2.18112600000000E+0004,4
R2436,R24,328, 2.37172700000000E+0004,4
R2438,R24,324, 2.88903100000000E+0004,4
R24392,R24,298, 3.13848700000000E+0004,4
R244,R24,289, 3.32165100000000E+0004,4
R2442,R244,276, 4.12685000000001E+0003,5
R2444,R244,236, 1.24991600000000E+0004,5
R2446,R244,172, 1.85361800000000E+0004,5
R2452,R24,277, 3.81429300000000E+0004,4
R24522,R2452,267, 4.19020999999999E+0003,5
R24532,R24,244, 4.15664100000000E+0004,4
R2454,R24,222, 4.36098400000000E+0004,4
R24542,R2454,223, 1.56154999999999E+0003,5
R2456,R24,218, 4.84055700000000E+0004,4
R24562,R2456,189, 6.96539999999999E+0003,5
R2458,R24,182, 5.13908600000000E+0004,4
R246,R24,166, 6.44397200000001E+0004,4
R2462,R246,129, 3.47603000000000E+0003,5
R2464,R246,123, 1.03201300000000E+0004,5
R2466,R246,122, 1.50990900000000E+0004,5
R2472,R24,128, 7.81393000000000E+0004,4
R2474,R24,100, 8.71462600000000E+0004,4
R24742,R2474,94, 6.38348999999999E+0003,5
R24744,R2474,89, 1.45943700000000E+0004,5
R24746,R2474,88, 1.88648100000000E+0004,5
R24752,R24,95, 8.94803500000000E+0004,4
R2476,R24,92, 9.43224900000000E+0004,4
R24762,R2476,81, 1.82216000000000E+0003,5
R24764,R2476,78, 5.24185000000001E+0003,5
R24772,R24,80, 1.01384220000000E+0005,4
R24774,R24,68, 1.06767900000000E+0005,4
R2478,R24,53, 1.09965570000000E+0005,4
R248,R24,45, 1.17144660000000E+0005,4
R2482,R248,46, 7.35390999999997E+0003,5
R2484,R248,48, 1.06395099999999E+0004,5
R2486,R248,54, 1.31189499999999E+0004,5
R24862,R2486,65, 1.81713000000000E+0003,6
R2488,R248,60, 1.80096099999999E+0004,5
R2492,R24,43, 1.18847690000000E+0005,4
R24922,R2492,41, 7.35706000000000E+0003,5
R24924,R2492,30, 1.06200299999999E+0004,5
R24932,R24,42, 1.23934620000000E+0005,4
R24934,R24,36, 1.34997640000000E+0005,4
R2494,R24,26, 1.36786730000000E+0005,4
R24942,R2494,22, 6.41727000000002E+0003,5
R24952,R24,23, 1.39925410000000E+0005,4
R249522,R24952,27, 4.37692999999999E+0003,5
R2496,R24,20, 1.40337850000000E+0005,4
