1618,R,1, 4.06915600000000E+0004, 0.00000000000000E+0000, 8.01244300000000E+0007, 5.55385312746300E+0010
1563,R12,1, 5.95926000000000E+0003, 4.06915600000000E+0004, 8.08957400000000E+0006, 2.76790220000000E+0007
1514,R12,1, 6.32611000000000E+0003, 4.66508200000000E+0004, 1.29460700000000E+0007, 1.29460700000000E+0007
1517,R122,1, 4.93166000000000E+0003, 4.66508200000000E+0004, 6.64337800000000E+0006, 6.64337800000000E+0006
1564,R,1, 7.23850000000000E+0002, 4.06915600000000E+0004, 5.48766100000000E+0005, 5.54307278226300E+0010
1556,R2,1, 1.86767000000000E+0003, 4.14154100000000E+0004, 1.85516900000000E+0006, 8.16234408410000E+0009
1539,R212,-1, 8.15209000000000E+0003, 4.32830800000000E+0004, 1.68126500000000E+0007, 4.56964850000000E+0007
1496,R2122,1, 2.06877000000000E+0003, 5.14351700000000E+0004, 3.54451900000000E+0006, 1.30366450000000E+0007
1468,R2122,1, 4.72706000000000E+0003, 5.35039400000000E+0004, 9.49212600000000E+0006, 9.49212600000000E+0006
1503,R212,1, 7.28227000000000E+0003, 5.14351700000000E+0004, 1.58471900000000E+0007, 1.58471900000000E+0007
1538,R2,1, 5.44816000000000E+0003, 4.32830800000000E+0004, 1.05683300000000E+0007, 8.11479243010000E+0009
1481,R214,-1, 7.63674000000000E+0003, 4.87312400000000E+0004, 1.62241500000000E+0007, 1.62241500000000E+0007
1482,R2,1, 3.99919000000000E+0003, 4.87312400000000E+0004, 7.65781700000000E+0006, 8.08799995010000E+0009
1463,R2,1, 5.96153000000000E+0003, 5.27304300000000E+0004, 1.02667500000000E+0007, 8.05960986310000E+0009
1393,R22,-1, 3.52971000000000E+0003, 5.86919600000000E+0004, 7.05122000000000E+0006, 4.06453783900000E+0008
1360,R2212,-1, 6.55808000000000E+0003, 6.22216700000000E+0004, 1.29523000000000E+0007, 1.29523000000000E+0007
1361,R22,-1, 2.96031000000000E+0003, 6.22216700000000E+0004, 5.76296800000000E+0006, 3.86450263900000E+0008
1312,R222,1, 1.92480000000000E+0004, 6.51819800000000E+0004, 4.40493500000000E+0007, 4.40493500000000E+0007
1313,R22,1, 7.48663000000000E+0003, 6.51819800000000E+0004, 1.59637200000000E+0007, 3.36637945900000E+0008
1220,R2232,1, 2.69808000000000E+0003, 7.26686100000000E+0004, 5.16447000000000E+0006, 1.35947740000000E+0007
1221,R2232,1, 2.13810000000000E+0003, 7.53666900000000E+0004, 6.03622500000000E+0006, 6.03622500000000E+0006
1232,R22322,1, 1.07083000000000E+0003, 7.53666900000000E+0004, 2.39407900000000E+0006, 2.39407900000000E+0006
1209,R22,1, 5.51040000000000E+0003, 7.26686100000000E+0004, 1.28020400000000E+0007, 3.07079451900000E+0008
1125,R22,-1, 5.20759000000000E+0003, 7.81790100000000E+0004, 9.36803500000000E+0006, 2.68093043900000E+0008
1048,R22,1, 6.23290000000000E+0002, 8.33866000000000E+0004, 4.40600100000000E+0005, 2.37422378900000E+0008
1034,R22,1, 1.65819000000000E+0003, 8.40098900000000E+0004, 1.29853800000000E+0006, 2.24492062800000E+0008
1009,R2256,1, 8.49598000000000E+0003, 8.56680800000000E+0004, 1.63406600000000E+0007, 1.63406600000000E+0007
1010,R22,1, 3.22875000000000E+0003, 8.56680800000000E+0004, 6.28167800000000E+0006, 2.06852864800000E+0008
946,R226,1, 7.85092000000000E+0003, 8.88968300000000E+0004, 1.51008700000000E+0007, 2.29490610000000E+0007
852,R226,1, 3.46387000000000E+0003, 9.67477500000000E+0004, 6.45726100000000E+0006, 6.45726100000000E+0006
858,R2262,1, 1.96653000000000E+0003, 9.67477500000000E+0004, 1.39093000000000E+0006, 1.39093000000000E+0006
947,R22,1, 1.64749000000000E+0003, 8.88968300000000E+0004, 1.87153800000000E+0006, 1.77622125800000E+0008
936,R22,1, 4.23846000000000E+0003, 9.05443200000000E+0004, 6.07107600000000E+0006, 1.04587179800000E+0008
891,R2292,1, 9.16128000000000E+0003, 9.47827800000000E+0004, 2.04873700000000E+0007, 2.04873700000000E+0007
893,R22,1, 3.98185000000000E+0003, 9.47827800000000E+0004, 1.04240400000000E+0007, 7.80287338000000E+0007
827,R2294,1, 8.34248000000000E+0003, 9.87646300000000E+0004, 1.98893300000000E+0007, 1.98893300000000E+0007
826,R22,1, 1.06925000000000E+0003, 9.87646300000000E+0004, 1.58699600000000E+0006, 4.77153638000000E+0007
810,R22,1, 2.65844000000000E+0003, 9.98338800000000E+0004, 3.97296400000000E+0006, 2.66657678000000E+0007
771,R22,1, 5.53003000000000E+0003, 1.02492320000000E+0005, 1.21950900000000E+0007, 1.21950900000000E+0007
770,R2298,1, 8.02920000000000E+0002, 1.02492320000000E+0005, 6.68218800000000E+0005, 1.04977138000000E+0007
753,R22982,1, 2.01453000000000E+0003, 1.03295240000000E+0005, 2.42180600000000E+0006, 2.42180600000000E+0006
752,R2298,1, 4.42192000000000E+0003, 1.03295240000000E+0005, 7.40768900000000E+0006, 7.40768900000000E+0006
809,R2296,1, 8.30621000000000E+0003, 9.98338800000000E+0004, 1.94626000000000E+0007, 1.94626000000000E+0007
937,R228,1, 1.41768000000000E+0003, 9.05443200000000E+0004, 1.41968800000000E+0006, 7.11634080000000E+0007
939,R228,1, 9.30050000000000E+0003, 9.19620000000000E+0004, 2.02145500000000E+0007, 5.11878800000000E+0007
899,R2284,1, 3.91844000000000E+0003, 1.01262500000000E+0005, 1.21728700000000E+0007, 1.21728700000000E+0007
